user_id,annual_income,monthly_income,monthly_expenses,annual_expenses,current_savings,savings_ratio,emergency_fund,emergency_fund_months,total_investments,investment_ratio,retirement_savings,total_debt,debt_ratio,emi_per_month,insurance_coverage,insurance_level,income_stability,financial_health_score,financial_risk_level,savings_quality
71,594512,49542,197034,2364408,17875964,30.07,898373,4.6,11098486,18.67,6217147,1156902,1.95,132634,21727946,Moderate,Low,69,Moderate,Excellent
72,3773708,314475,272006,3264072,3541296,0.94,909164,3.3,6076506,1.61,7713146,11866669,3.14,40105,14612523,Basic,High,76,Moderate,Good
73,4626728,385560,156600,1879200,18058086,3.9,1624540,10.4,8111742,1.75,7799287,7307727,1.58,155313,9005859,Moderate,Low,74,Moderate,Excellent
74,976981,81415,161238,1934856,15126405,15.48,511418,3.2,12590902,12.89,7796514,9560490,9.79,159994,22420684,Strong,Moderate,76,Moderate,Excellent
75,490753,40896,274158,3289896,10905665,22.22,381345,1.4,8179730,16.67,3558780,5952975,12.13,67725,11419876,Moderate,High,72,Moderate,Excellent
76,2567508,213959,20322,243864,17335133,6.75,1988231,97.8,3205394,1.25,1436347,4049282,1.58,106542,16393952,Basic,High,71,Moderate,Excellent
77,4243758,353646,272331,3267972,15038242,3.54,1662900,6.1,289293,0.07,1561176,4936453,1.16,58090,13569450,Basic,Moderate,62,Moderate,Excellent
78,5819700,484975,208472,2501664,15879986,2.73,1160716,5.6,8907391,1.53,5767292,7138769,1.23,144281,11099514,Moderate,High,79,Moderate,Excellent
79,4056291,338024,157038,1884456,10288560,2.54,527231,3.4,3867786,0.95,2024269,3231028,0.8,82719,4011591,Basic,Low,65,Moderate,Excellent
80,2065165,172097,268859,3226308,9277787,4.49,1519564,5.7,9891626,4.79,8801946,10012487,4.85,74186,3373096,Basic,Moderate,70,Moderate,Excellent
81,2158267,179855,204205,2450460,6021059,2.79,633901,3.1,237370,0.11,8961299,2123709,0.98,71909,1527253,None,High,68,Moderate,Excellent
82,2700619,225051,81206,974472,16471155,6.1,215141,2.6,14641807,5.42,205779,9631199,3.57,74537,15750347,Strong,Moderate,66,Moderate,Excellent
83,3108048,259004,111659,1339908,1723916,0.55,529485,4.7,14457312,4.65,8014965,1914064,0.62,17129,13445510,Strong,Low,75,Moderate,Average
84,5090404,424200,43106,517272,5091113,1.0,312890,7.3,13608705,2.67,9442881,5097514,1.0,22329,8327906,None,High,79,Moderate,Good
85,3741120,311760,133325,1599900,17534624,4.69,797710,6.0,7558378,2.02,7427625,4988757,1.33,154278,14389141,Moderate,High,82,Low,Excellent
86,5459554,454962,46578,558936,3329726,0.61,1987240,42.7,12796605,2.34,3486102,10494400,1.92,55318,8880050,None,Low,60,Moderate,Average
87,2262134,188511,106128,1273536,18521786,8.19,157422,1.5,2626181,1.16,44891,6853787,3.03,118096,23131456,Strong,Moderate,58,Moderate,Excellent
88,523802,43650,136360,1636320,9667195,18.46,1482593,10.9,4743227,9.06,7617381,1194198,2.28,61190,8876980,Basic,Moderate,75,Moderate,Excellent
89,1212813,101067,132864,1594368,4999254,4.12,1905076,14.3,4456573,3.67,2386328,1198058,0.99,15633,5567444,Moderate,High,97,Low,Excellent
90,5024854,418737,166315,1995780,14735544,2.93,260788,1.6,7863447,1.56,5101803,11739583,2.34,105515,9135066,Strong,Moderate,73,Moderate,Excellent
91,924795,77066,35898,430776,14496476,15.68,1540429,42.9,5407658,5.85,4200476,433940,0.47,23940,7681428,None,High,92,Low,Excellent
92,2510822,209235,36092,433104,5878425,2.34,986711,27.3,8706768,3.47,7419378,4666692,1.86,47576,19640403,Strong,High,89,Low,Excellent
93,4374894,364574,62837,754044,15770931,3.6,729727,11.6,6850944,1.57,5591986,5386463,1.23,175671,3509789,Basic,Moderate,75,Moderate,Excellent
94,3703129,308594,274768,3297216,9670984,2.61,1389538,5.1,6718473,1.81,9229089,615675,0.17,119229,2954796,Moderate,Moderate,89,Low,Excellent
95,2961817,246818,75776,909312,13561864,4.58,1813848,23.9,8633492,2.91,19311,11033710,3.73,142237,15501353,Strong,Low,67,Moderate,Excellent
96,1823556,151963,286811,3441732,12139300,6.66,1305757,4.6,12691010,6.96,8363326,10492617,5.75,115878,25501050,None,Low,63,Moderate,Excellent
97,2490230,207519,83688,1004256,9664654,3.88,918796,11.0,14778153,5.93,8132114,2037191,0.82,7567,21140039,Basic,High,94,Low,Excellent
98,1578572,131547,177922,2135064,18483090,11.71,28677,0.2,9265241,5.87,6844947,1563790,0.99,58903,28232889,None,Moderate,69,Moderate,Excellent
99,1235377,102948,95725,1148700,16722706,13.54,1955915,20.4,12022608,9.73,4896624,8537455,6.91,71676,13941542,Strong,Moderate,81,Low,Excellent
100,2294563,191213,254487,3053844,18497386,8.06,303336,1.2,6435505,2.8,3197911,10055887,4.38,133232,25041422,Basic,Low,61,Moderate,Excellent
101,2567331,213944,232549,2790588,11404320,4.44,1959260,8.4,13215705,5.15,8518424,4482413,1.75,672,9490501,Moderate,High,90,Low,Excellent
102,5114749,426229,271712,3260544,4986034,0.97,936477,3.4,9035882,1.77,8125900,5790218,1.13,87147,18519275,Strong,Moderate,75,Moderate,Good
103,2949264,245772,113908,1366896,8012984,2.72,1199146,10.5,6425184,2.18,3918527,6891662,2.34,11441,10676225,Strong,High,93,Low,Excellent
104,3447998,287333,217416,2608992,5103807,1.48,1038779,4.8,621086,0.18,2118060,8427047,2.44,154712,11139893,None,Moderate,49,High,Good
105,1086442,90536,290749,3488988,15331962,14.11,32186,0.1,12120596,11.16,2418526,6878299,6.33,171646,5179503,None,Moderate,62,Moderate,Excellent
106,2473172,206097,192503,2310036,13337327,5.39,1362806,7.1,1347467,0.54,5512415,11313841,4.57,139885,12750999,Moderate,High,72,Moderate,Excellent
107,4343200,361933,298648,3583776,1204573,0.28,1294906,4.3,1147909,0.26,3938791,10589124,2.44,179411,9642839,Basic,High,43,High,Poor
108,1008156,84013,242526,2910312,3303203,3.28,1594610,6.6,10632524,10.55,1686231,7443690,7.38,43611,23286814,Moderate,Low,74,Moderate,Excellent
109,635800,52983,185065,2220780,1883048,2.96,615236,3.3,6014016,9.46,6288789,7225725,11.36,38160,8193906,Strong,High,80,Low,Excellent
110,5969356,497446,109401,1312812,5703704,0.96,367147,3.4,1324869,0.22,6418028,10397014,1.74,179079,8080906,Strong,High,64,Moderate,Good
111,1450558,120879,136733,1640796,15473623,10.67,1337782,9.8,4261032,2.94,7710313,4283671,2.95,174808,315325,Strong,Moderate,81,Low,Excellent
112,5934212,494517,97824,1173888,2478394,0.42,926374,9.5,5797629,0.98,9857817,5018975,0.85,167493,14237445,Moderate,Moderate,70,Moderate,Average
113,2784380,232031,119447,1433364,12908163,4.64,1789574,15.0,8106886,2.91,1789344,3979651,1.43,99972,19190541,Moderate,High,77,Moderate,Excellent
114,2731957,227663,169785,2037420,736170,0.27,1740714,10.3,11043263,4.04,6640518,4605016,1.69,2122,18989426,None,High,68,Moderate,Poor
115,4416850,368070,165048,1980576,7721491,1.75,1273107,7.7,13454185,3.05,5910964,3674286,0.83,166885,6379770,Moderate,High,89,Low,Excellent
116,5779615,481634,86711,1040532,3260280,0.56,1894574,21.8,10527000,1.82,661401,5183033,0.9,115559,1119527,Moderate,High,72,Moderate,Average
117,1352362,112696,62255,747060,9902263,7.32,685179,11.0,12540647,9.27,6970985,2946751,2.18,52637,4434546,Moderate,High,82,Low,Excellent
118,4459359,371613,157882,1894584,5521194,1.24,538905,3.4,13835999,3.1,8084065,4951651,1.11,88792,26985566,None,Moderate,70,Moderate,Good
119,881656,73471,88797,1065564,7570372,8.59,1803845,20.3,11346829,12.87,6667458,9350154,10.61,95885,3030061,Strong,Low,77,Moderate,Excellent
120,2468439,205703,296318,3555816,4146949,1.68,953755,3.2,6183841,2.51,4398338,9807290,3.97,99883,27595745,Moderate,Low,69,Moderate,Excellent
121,5910939,492578,137590,1651080,15820138,2.68,52480,0.4,10394271,1.76,9418852,5503032,0.93,159929,7427850,None,High,77,Moderate,Excellent
122,4144558,345379,173434,2081208,13700135,3.31,244687,1.4,2345069,0.57,760793,624315,0.15,79787,16529739,None,Low,56,Moderate,Excellent
123,2219645,184970,296829,3561948,4552130,2.05,815049,2.7,7610879,3.43,6224540,11248892,5.07,141608,14063560,Basic,Moderate,65,Moderate,Excellent
124,5743883,478656,66915,802980,16419761,2.86,1291116,19.3,6847048,1.19,4693260,548888,0.1,97132,7290360,Strong,Moderate,90,Low,Excellent
125,2230656,185888,205151,2461812,3333787,1.49,1437975,7.0,6162857,2.76,9134621,10818398,4.85,94024,2031723,Strong,Moderate,81,Low,Good
126,1842229,153519,79046,948552,15257783,8.28,192253,2.4,11119414,6.04,3558545,10766014,5.84,167639,20036893,None,Low,58,Moderate,Excellent
127,3047677,253973,142700,1712400,4225304,1.39,1650412,11.6,9472046,3.11,3442778,1151087,0.38,145282,6951047,Basic,Low,82,Low,Good
128,3006157,250513,92360,1108320,19997825,6.65,5946,0.1,4651899,1.55,2427461,2180906,0.73,141614,8410559,Basic,Low,64,Moderate,Excellent
129,5795353,482946,28516,342192,4422582,0.76,31164,1.1,6010308,1.04,3991829,9879312,1.7,84874,529525,Basic,Moderate,55,Moderate,Average
130,689554,57462,81457,977484,14125092,20.48,1103281,13.5,1906718,2.77,1066326,7990081,11.59,117512,26105919,Moderate,High,82,Low,Excellent
131,5230031,435835,72175,866100,15166785,2.9,1056626,14.6,3716988,0.71,727544,11054559,2.11,136695,10121034,Strong,High,72,Moderate,Excellent
132,511310,42609,46890,562680,16071965,31.43,1776913,37.9,6738019,13.18,7151684,11510805,22.51,28301,16450692,Strong,Low,77,Moderate,Excellent
133,927719,77309,183879,2206548,4977257,5.37,137745,0.7,2117143,2.28,4614002,10474309,11.29,165957,19641579,Moderate,Moderate,68,Moderate,Excellent
134,5261286,438440,293164,3517968,9895126,1.88,951510,3.2,8481739,1.61,7217547,1663938,0.32,29992,28614975,Basic,Moderate,90,Low,Excellent
135,4037917,336493,134796,1617552,13885279,3.44,710791,5.3,13881791,3.44,7608449,6689582,1.66,109049,24481733,None,Moderate,71,Moderate,Excellent
136,3829955,319162,178852,2146224,8552682,2.23,784966,4.4,2560856,0.67,7956894,1126310,0.29,23914,27909633,None,Low,75,Moderate,Excellent
137,3872842,322736,65627,787524,12503953,3.23,1702403,25.9,2182975,0.56,9334352,1006313,0.26,153738,18843713,Moderate,High,85,Low,Excellent
138,1275350,106279,230382,2764584,11864782,9.3,1832087,8.0,11162561,8.75,7095702,863121,0.68,75400,20146419,Moderate,Moderate,85,Low,Excellent
139,1119064,93255,281030,3372360,7138329,6.38,324492,1.2,11018206,9.85,8089795,3762204,3.36,28368,11747876,Moderate,Low,68,Moderate,Excellent
140,2586799,215566,133572,1602864,14398623,5.57,1772418,13.3,9411442,3.64,9340543,440466,0.17,159644,22073153,Moderate,Low,86,Low,Excellent
141,1763439,146953,158272,1899264,10367805,5.88,1932604,12.2,5701311,3.23,5889195,102438,0.06,47554,29187749,Basic,High,95,Low,Excellent
142,5764206,480350,225126,2701512,2334899,0.41,297532,1.3,12431397,2.16,514340,1539438,0.27,139062,7218661,Strong,Moderate,64,Moderate,Average
143,4055456,337954,193727,2324724,5281778,1.3,776057,4.0,5228407,1.29,5442241,9522639,2.35,156296,2850685,None,Low,60,Moderate,Good
144,1570449,130870,41089,493068,2737421,1.74,570641,13.9,7434202,4.73,7113787,8148051,5.19,159141,14832541,Strong,Moderate,81,Low,Excellent
145,2058323,171526,283617,3403404,3819081,1.86,723879,2.6,7212753,3.5,1860421,4752087,2.31,177790,22766220,Strong,High,72,Moderate,Excellent
146,5846313,487192,176700,2120400,1523953,0.26,462460,2.6,6631419,1.13,919088,128967,0.02,53588,10113955,Basic,Low,52,Moderate,Poor
147,2393452,199454,166753,2001036,11009959,4.6,251625,1.5,129686,0.05,8344741,7225192,3.02,46057,4334752,Strong,High,64,Moderate,Excellent
148,2180308,181692,277281,3327372,18747651,8.6,1747670,6.3,11207988,5.14,5941939,1209226,0.55,104089,28916013,None,Moderate,79,Moderate,Excellent
149,407215,33934,256043,3072516,2612635,6.42,1807975,7.1,5252285,12.9,9659635,7202195,17.69,150313,13570180,Strong,Moderate,81,Low,Excellent
150,1216144,101345,227353,2728236,699829,0.58,681088,3.0,2883553,2.37,7719145,11569736,9.51,94857,2957148,Strong,Low,61,Moderate,Average
151,2291086,190923,243419,2921028,19759241,8.62,839804,3.5,8790632,3.84,1319479,6639863,2.9,81336,25025057,Moderate,Low,64,Moderate,Excellent
152,3043982,253665,103149,1237788,2562866,0.84,1070561,10.4,10623747,3.49,1913049,8902071,2.92,133680,6506328,Moderate,Moderate,66,Moderate,Good
153,5664368,472030,92432,1109184,7927867,1.4,215596,2.3,2456926,0.43,4294434,3309671,0.58,45481,20213155,Basic,High,69,Moderate,Good
154,882109,73509,107875,1294500,16579816,18.8,972980,9.0,12657500,14.35,9457911,9721861,11.02,117677,22855046,Moderate,High,82,Low,Excellent
155,2901965,241830,94145,1129740,14755991,5.08,143206,1.5,7867190,2.71,7419020,10592884,3.65,79382,26720390,Moderate,High,76,Moderate,Excellent
156,721205,60100,199519,2394228,17023401,23.6,155589,0.8,5207779,7.22,7746753,7581856,10.51,9858,1908913,Moderate,Moderate,76,Moderate,Excellent
157,893666,74472,62341,748092,19934010,22.31,1063398,17.1,6450545,7.22,7763013,9736311,10.89,145310,26568996,None,Moderate,72,Moderate,Excellent
158,5045403,420450,113691,1364292,10788647,2.14,1268789,11.2,7979730,1.58,8411547,2531028,0.5,16219,15117047,None,Moderate,87,Low,Excellent
159,957404,79783,279528,3354336,5790116,6.05,82086,0.3,4156449,4.34,7344365,7372274,7.7,137381,17540513,Basic,Moderate,65,Moderate,Excellent
160,3377709,281475,163317,1959804,12999542,3.85,857251,5.2,12993363,3.85,5676858,11390013,3.37,156732,1757095,Moderate,Low,69,Moderate,Excellent
161,3015646,251303,64548,774576,18722138,6.21,1422664,22.0,6485471,2.15,4767195,4227787,1.4,172114,20223283,Basic,Moderate,75,Moderate,Excellent
162,933688,77807,89149,1069788,11738037,12.57,650603,7.3,11006771,11.79,6575963,2163449,2.32,155986,23784522,None,Moderate,72,Moderate,Excellent
163,4938578,411548,212488,2549856,11021844,2.23,1705372,8.0,2144023,0.43,8831414,1567880,0.32,169351,22496771,Strong,High,86,Low,Excellent
164,3285234,273769,24558,294696,12166758,3.7,647739,26.4,3024309,0.92,3593556,5733317,1.75,127473,6442626,Basic,Low,64,Moderate,Excellent
165,1549774,129147,55456,665472,9925135,6.4,1770894,31.9,13222462,8.53,1696860,8517619,5.5,141497,28021971,None,High,75,Moderate,Excellent
166,3074984,256248,83707,1004484,12640621,4.11,323491,3.9,2722056,0.89,3034091,11624020,3.78,163771,27147002,Basic,High,66,Moderate,Excellent
167,3921470,326789,37907,454884,13786127,3.52,763991,20.2,11347486,2.89,3985095,7452417,1.9,160063,9560594,Strong,Low,75,Moderate,Excellent
168,4729610,394134,140393,1684716,10384019,2.2,1695807,12.1,13159548,2.78,7868776,3255051,0.69,96427,22760200,Strong,Moderate,92,Low,Excellent
169,2613672,217806,215211,2582532,16874748,6.46,1106163,5.1,7023963,2.69,2718884,3350371,1.28,158508,4643884,Moderate,Low,67,Moderate,Excellent
170,5628599,469049,266967,3203604,12455811,2.21,1162956,4.4,1721170,0.31,8655523,2091745,0.37,74727,2814382,Basic,Moderate,78,Moderate,Excellent
171,4019162,334930,284144,3409728,4944200,1.23,1742831,6.1,7339571,1.83,1538698,3725179,0.93,118260,29683249,Moderate,Low,77,Moderate,Good
172,3730407,310867,42921,515052,13302787,3.57,1052785,24.5,6274032,1.68,3955699,6478792,1.74,21392,12579981,Basic,Low,77,Moderate,Excellent
173,2923322,243610,66948,803376,11250477,3.85,1659645,24.8,2450300,0.84,2308538,642620,0.22,75203,27842178,Strong,High,91,Low,Excellent
174,1414277,117856,260948,3131376,15052567,10.64,1290478,4.9,88100,0.06,1329187,318832,0.23,67088,7236172,Basic,High,69,Moderate,Excellent
175,5357656,446471,291704,3500448,14202073,2.65,233175,0.8,13022015,2.43,4833542,3986941,0.74,78944,4088552,None,Low,70,Moderate,Excellent
176,3771751,314312,254659,3055908,2107458,0.56,232485,0.9,14037290,3.72,8385742,10011619,2.65,140523,551478,Basic,High,57,Moderate,Average
177,1454409,121200,167710,2012520,14402867,9.9,3280,0.0,10314793,7.09,5919270,4035998,2.78,149596,13977689,Basic,High,69,Moderate,Excellent
178,5855392,487949,59886,718632,17565226,3.0,756240,12.6,1135470,0.19,8825812,9128180,1.56,132992,26387619,None,Moderate,63,Moderate,Excellent
179,4193778,349481,37824,453888,12981582,3.1,782871,20.7,4255545,1.01,272499,5991041,1.43,17710,11569651,Basic,High,73,Moderate,Excellent
180,5762191,480182,69349,832188,19525435,3.39,1541798,22.2,12694965,2.2,5578736,2238241,0.39,11622,11821194,Moderate,High,100,Low,Excellent
181,1718754,143229,258596,3103152,16056841,9.34,1324846,5.1,3058117,1.78,2262450,1058651,0.62,119977,1240970,Moderate,Low,76,Moderate,Excellent
