user_id,age,retirement_age,annual_income,monthly_income,current_savings,emergency_fund,stock_investments,mutual_fund_investments,fd_investments,gold_investments,monthly_sip,epf_balance,ppf_balance,nps_contribution,monthly_expenses,total_loans,emi_per_month,dependents,risk_appetite,smoker,diabetes,blood_pressure,insurance_cover,inflation_rate,expected_market_return,retirement_readiness_score,retirement_status
16,43,54,2497440,208120,5471791,926596,4627830,2959783,1793848,1176306,2534,938466,157797,45286,93147,9153486,9444,1,Moderate,Yes,Yes,High,12335674,8.17,12.08,44,Not Ready
17,24,61,2062249,171854,8422828,1398660,862295,1483435,2348321,852235,40515,1985896,1813209,10649,107826,6917152,6497,3,Aggressive,Yes,No,Normal,3727087,4.9,14.47,50,Partially Ready
18,46,52,4248434,354036,7513637,418534,3861303,1466573,1280063,477302,58438,198511,1384189,12656,223910,5507321,73034,2,Moderate,No,No,Normal,3970226,8.32,14.77,63,Partially Ready
19,38,55,2526893,210574,1333698,227336,3645385,1449916,1315658,915184,134066,970107,807813,37787,114656,4273534,11635,4,Aggressive,Yes,No,High,2447931,7.54,8.01,52,Partially Ready
20,43,69,2933315,244442,4231731,629821,4254051,1297233,2797151,856462,85506,3375579,1462152,19376,81735,3218542,110217,5,Conservative,No,No,Normal,10296351,7.32,10.65,73,Partially Ready
21,40,56,3906163,325513,19511059,1272261,2703222,1950301,1852984,927276,56020,4288038,992343,48231,103967,1422633,74392,2,Conservative,Yes,No,Normal,6781691,6.58,12.43,74,Partially Ready
22,31,50,687668,57305,8265552,996433,610927,1910153,1738291,1320713,50970,3221044,1036784,26191,142918,2475836,1453,0,Moderate,Yes,Yes,High,1785049,8.46,14.02,56,Partially Ready
23,57,65,1318029,109835,15366317,279632,3897709,2800023,2227728,1172151,83177,3712574,1284825,47138,279649,7159521,143621,3,Moderate,No,Yes,High,17591919,6.23,9.11,63,Partially Ready
24,53,68,2306939,192244,9263961,922479,649977,2992824,1198430,491768,71228,2817293,670479,35399,57245,2321531,39539,5,Conservative,Yes,No,High,11202537,5.16,12.86,69,Partially Ready
25,56,68,3787767,315647,2139290,433763,3524419,1633584,2449806,1458617,5120,4829240,797716,31259,18091,5901533,78279,3,Aggressive,Yes,No,Normal,9258189,7.77,13.97,48,Not Ready
26,49,69,543477,45289,13097882,704914,3391654,3037436,692247,980188,33456,4480553,56552,25822,29209,1408404,112358,0,Moderate,No,No,Normal,15357177,4.68,11.23,64,Partially Ready
27,42,60,3480341,290028,9386742,884085,2116206,3501870,343539,986304,5081,4524974,109231,22935,132556,1151225,10553,1,Conservative,Yes,Yes,Normal,15990072,7.77,14.65,68,Partially Ready
28,29,68,2128419,177368,15653951,1466884,2149527,3216603,1547258,351879,30024,1373767,652295,7084,28462,5233774,98384,0,Aggressive,Yes,Yes,High,4161933,5.98,13.01,50,Partially Ready
29,58,63,3212556,267713,17925964,898373,3108573,289225,2122153,1357996,89451,106133,1781689,27528,272006,1770648,113645,3,Aggressive,Yes,No,Normal,17606915,8.8,12.45,70,Partially Ready
30,39,69,4814521,401210,16273484,974910,3653863,3463381,2485018,562866,84490,2059362,1742169,5679,161238,7563202,63927,5,Moderate,No,Yes,High,11005665,7.75,11.99,68,Partially Ready
31,33,65,2079390,173282,11955950,541804,2854969,1172972,2500455,1470488,72422,4662313,21288,33857,115168,1436347,63270,1,Aggressive,No,No,High,678587,7.6,11.42,68,Partially Ready
32,27,59,2158885,179907,13619450,1450782,2040991,1284321,2784850,1219610,96736,3969996,1160716,34794,195227,7138769,144281,2,Moderate,No,Yes,Normal,6562056,5.65,12.92,63,Partially Ready
33,42,53,4795152,399596,6262597,401690,1815165,3097932,2030876,579861,137530,2373965,210818,12721,170318,3816534,94602,4,Conservative,No,Yes,Normal,18667645,4.9,8.1,75,Partially Ready
34,40,54,4417788,368149,3492270,25722,4815599,1192605,1968793,1003936,115466,2858048,386638,3367,147371,8014965,29907,0,Aggressive,Yes,Yes,Normal,18985762,8.11,10.8,59,Partially Ready
35,41,52,2381976,198498,4024574,1170363,3491120,2543080,2500337,1296917,59162,4383656,797710,29524,247113,4988757,112415,4,Aggressive,Yes,Yes,Normal,8980050,5.53,12.35,61,Partially Ready
36,27,55,2312134,192677,5882214,1157611,629689,656545,11222,856723,118096,4981249,985477,19087,32112,3883526,75524,3,Conservative,Yes,No,Normal,14365296,7.53,12.92,80,Ready
37,29,67,2185838,182153,5049254,557071,1193164,299514,250140,347965,80638,4991591,1570678,37303,166315,7367772,32598,3,Moderate,No,No,Normal,1437505,6.34,10.13,64,Partially Ready
38,49,64,2400238,200019,917881,191526,1920357,2828212,2412559,1231286,5438,2260822,1208477,2636,106850,7893693,136043,1,Aggressive,No,No,Normal,15870931,7.26,14.41,36,Not Ready
39,44,63,3095993,257999,10822927,1405371,877447,3597593,674548,691648,107910,4156295,604436,43423,224952,9229089,9619,2,Conservative,No,Yes,High,13966287,6.27,10.2,65,Partially Ready
40,25,56,4648984,387415,12189300,1305757,4181663,2623154,1854054,108237,53361,2240230,1151797,8586,166010,7350368,127064,4,Conservative,Yes,No,Normal,18630482,4.61,14.81,64,Partially Ready
41,48,55,2184925,182077,3857123,967726,985377,2716691,645801,1045169,76509,4268727,1479355,17919,232836,8094999,123789,3,Conservative,Yes,Yes,High,14023157,5.22,11.86,66,Partially Ready
42,43,66,2541206,211767,136075,593156,2504467,3512628,2461795,1216187,128356,1246508,936477,35296,268934,5790218,87147,3,Moderate,Yes,Yes,High,7937055,6.76,11.8,42,Not Ready
43,48,54,2969056,247421,15920449,1478970,3197998,1619331,2783712,1367382,39873,4155117,77635,8273,278345,9901584,87030,3,Conservative,No,Yes,Normal,13856599,8.35,14.12,56,Partially Ready
44,31,52,4238372,353197,8942688,710014,3334331,2725612,336866,689051,139885,3187749,664086,41077,270825,9076742,9410,5,Moderate,Yes,Yes,High,3403203,7.09,9.64,71,Partially Ready
45,28,64,1695568,141297,10098414,60706,385800,1360525,235381,615236,93969,3144394,903215,9540,143029,8911492,108016,1,Conservative,Yes,No,Normal,16798941,6.83,13.55,62,Partially Ready
46,59,65,2247737,187311,15523623,1337782,2130516,1927578,1070917,1398466,2463,3902827,1889973,18850,97824,1239197,115796,2,Aggressive,No,No,High,10237521,8.73,14.91,64,Partially Ready
47,34,62,4353443,362786,3628689,497456,3199115,2398817,1505583,1205467,77561,2476575,46010,43137,222516,4605016,2122,5,Conservative,No,No,Normal,11921929,6.83,12.8,63,Partially Ready
48,36,70,1894942,157911,8459639,1421375,1147387,2635063,407535,1315875,10334,2591516,1653836,28889,32492,9723634,95646,2,Moderate,No,Yes,Normal,4534546,7.66,8.63,50,Partially Ready
49,56,66,4753112,396092,16887438,571531,1380298,1077810,2021016,618956,88792,966113,982162,4934,88797,3785186,104179,2,Conservative,No,Yes,High,18104379,8.84,13.63,69,Partially Ready
50,29,64,3391920,282660,8846677,1225911,3196273,3449468,2678269,779036,28402,1961440,988758,1640,186969,3713925,16571,5,Moderate,No,Yes,Normal,1621586,7.18,11.25,63,Partially Ready
51,24,59,4432434,369369,3946356,203826,1969645,3721435,2254633,284508,101881,3805439,778067,43940,298216,7031780,40507,3,Aggressive,No,No,Normal,12532922,8.43,12.58,64,Partially Ready
52,35,64,4030379,335864,7972625,760607,833446,2875951,1540714,1141827,94024,507930,834959,18080,114514,2049499,119201,5,Aggressive,Yes,Yes,High,8272815,4.46,9.48,65,Partially Ready
53,30,68,2021389,168449,2352174,1162257,1737761,2459468,905765,488633,86129,1237774,1653905,39058,16486,4651899,37929,1,Conservative,Yes,Yes,Normal,12120616,8.94,11.78,68,Partially Ready
54,37,68,3015991,251332,579525,365420,2226064,219777,531663,882818,137910,953359,1563773,4165,264690,7520810,94906,4,Conservative,Yes,No,High,1145242,6.57,8.76,46,Not Ready
55,25,65,3669009,305750,14353369,1438850,905649,2056336,2988027,930217,19265,677719,675517,39865,92769,1101965,33080,4,Aggressive,No,No,High,15324163,5.38,12.43,58,Partially Ready
56,54,68,3908773,325731,3377876,1471738,959774,3576871,2746065,1365071,144529,1803744,901922,29593,134796,6942639,88848,5,Conservative,No,No,High,8652682,8.14,10.79,68,Partially Ready
57,45,54,4278447,356537,2302620,191312,716088,391035,1811421,202510,97687,1091487,1166794,3930,187829,2050700,107691,3,Aggressive,Yes,No,High,11899288,5.77,12.66,55,Partially Ready
58,28,68,4556484,379707,7188329,324492,4044897,940551,453900,734242,145821,3083325,240931,49978,161049,9631799,59286,4,Aggressive,Yes,No,Normal,6153758,8.04,13.92,66,Partially Ready
59,39,59,3150655,262554,11828391,12804,1521740,3648468,600840,1187661,105063,583724,297532,48560,31073,1539438,139062,2,Conservative,No,No,High,19145279,5.08,10.94,75,Partially Ready
60,60,65,741314,61776,5270395,330112,417438,2826829,342177,570641,116159,3556893,1018506,39785,246758,6948850,71609,2,Moderate,Yes,No,High,17780974,5.08,11.59,66,Partially Ready
61,41,51,2149842,179153,13312838,1256875,459544,32241,857412,632122,55373,1151208,1602561,16745,166753,5504979,31453,1,Conservative,No,Yes,High,2518452,4.04,13.23,58,Partially Ready
62,47,53,3959275,329939,678861,964174,653158,3615951,1313071,1207454,112534,4810025,848136,46497,233991,4857259,30192,1,Aggressive,No,No,Normal,14753615,6.03,14.76,51,Partially Ready
63,28,57,3954719,329559,19809241,839804,4395316,329869,1659965,650692,89001,1858681,698495,11018,55044,8564488,29891,2,Moderate,Yes,Yes,Normal,5013852,6.65,9.36,63,Partially Ready
64,38,56,1755415,146284,5179458,1374702,632109,743004,2633808,1036238,121622,4728955,1593577,37976,250355,9470600,84727,1,Moderate,Yes,No,High,10260967,8.32,12.39,70,Partially Ready
65,39,68,771205,64267,11859221,1063962,622356,1301944,1936688,947732,9858,477228,773298,18813,55229,1514923,132924,5,Conservative,No,Yes,High,16059461,5.92,12.06,59,Partially Ready
66,54,61,819034,68252,15167047,217059,2880964,2996056,353702,1058115,45235,328347,519556,46374,244511,7372274,137381,2,Moderate,No,No,High,1857095,6.61,9.11,46,Not Ready
67,43,52,3065646,255470,3221093,1170133,3242735,1191798,1056946,1376914,39419,2796443,170922,38190,89149,5869018,81325,3,Conservative,Yes,No,High,11121844,8.84,12.89,60,Partially Ready
68,30,66,1083940,90328,14257160,1066377,3035234,76464,1520844,647739,47254,1796778,716664,31868,115666,3800761,36061,0,Aggressive,Yes,No,Normal,12740621,4.77,10.07,52,Partially Ready
69,31,55,1817045,151420,5604572,917867,366518,1723265,1527982,1418435,62267,3726208,1280511,18673,250367,3925917,139987,3,Conservative,No,No,High,9554690,5.2,14.76,70,Partially Ready
70,46,67,4724653,393721,14097926,339860,1675185,3360724,2536142,290242,65536,437715,1344649,31495,209622,9303649,26893,0,Moderate,Yes,Yes,High,15176651,7.56,11.61,60,Partially Ready
71,54,61,3969785,330815,3127396,465647,3784335,3710406,1466266,55931,108762,446751,831424,32899,211063,3955699,101231,0,Moderate,Yes,No,Normal,4717076,8.97,10.62,63,Partially Ready
72,24,59,4263239,355269,4707109,1479616,3935180,1881570,2580957,11012,20768,159416,536711,14133,93391,9207407,138352,1,Moderate,Yes,Yes,Normal,14187007,6.12,13.43,53,Partially Ready
73,51,57,1229943,102495,16821485,1251452,4496745,68934,2650611,1080821,63422,1204409,610841,28130,15820,5919270,63062,5,Conservative,No,Yes,Normal,13201453,6.85,9.31,55,Partially Ready
74,52,57,3545395,295449,12575949,531943,136249,1497760,283365,723103,63209,869595,1617955,38135,189335,2238241,11622,5,Conservative,No,No,Normal,4624901,5.76,10.37,68,Partially Ready
75,26,64,610242,50853,9896298,422766,367473,3318152,836637,87883,82731,2601105,1080837,26098,299704,7942330,66404,2,Moderate,Yes,No,High,4276688,4.18,12.53,61,Partially Ready
76,45,63,3655625,304635,14805112,810852,2844045,783568,2081227,1451372,130422,3081529,1938419,34031,154838,1385991,111280,1,Aggressive,No,No,Normal,2786666,4.39,12.22,76,Partially Ready
77,42,59,2871073,239256,15012450,1263789,3574520,698958,2893083,930943,92155,3750795,88825,47632,199842,7297090,71973,0,Conservative,No,No,Normal,1144905,7.2,13.54,64,Partially Ready
78,31,69,3975660,331305,1217659,264723,563994,989836,2706009,768246,94935,3211615,1991176,37174,31979,2574265,117944,0,Aggressive,Yes,No,High,10649024,8.74,10.6,54,Partially Ready
79,39,57,1251675,104306,919507,390171,4186284,2171581,1623142,1177913,30870,2195941,1625218,17058,248975,3599894,74862,1,Conservative,Yes,Yes,High,5893386,7.47,14.99,50,Partially Ready
80,50,57,2980896,248408,11707658,1488014,544748,2306855,2274031,608933,78631,1321249,1492771,46501,106273,6064832,133367,1,Conservative,No,Yes,High,18689874,5.12,14.9,68,Partially Ready
81,58,68,4220884,351740,18560199,272149,723227,275767,1297259,835001,125479,4409854,861499,26832,53666,2102634,83106,5,Aggressive,No,Yes,Normal,4429627,7.21,11.15,76,Partially Ready
82,49,70,764836,63736,4216155,1086538,1283586,1275590,690621,339669,84583,1891381,725662,34006,163923,1323049,65694,2,Conservative,No,Yes,Normal,19957796,4.98,14.69,70,Partially Ready
83,59,65,1736134,144677,11378633,1181992,345562,3461291,119007,170336,11917,4838307,555023,42672,125524,9598869,109205,5,Aggressive,No,No,High,8316739,7.09,8.21,47,Not Ready
84,47,61,4104603,342050,2498568,1444127,502586,663037,1843839,871621,126943,3896023,427867,22294,90323,5244264,83706,3,Conservative,No,Yes,High,8211376,7.67,14.03,65,Partially Ready
85,51,57,2543715,211976,15135938,519923,1181767,406057,212253,608618,100702,3507568,520660,10466,186670,9691980,81976,4,Moderate,No,No,High,877667,4.95,9.12,59,Partially Ready
86,27,62,4539975,378331,15392114,504844,1804762,2446722,1480149,102043,13248,2360188,1037868,39158,261723,4794062,140690,1,Moderate,No,No,High,1618082,4.04,8.75,63,Partially Ready
87,47,53,1932887,161073,12214279,1160192,2420966,308414,1620464,1057500,118057,4612535,586616,40844,77291,2158613,25344,2,Aggressive,No,Yes,Normal,17183316,5.97,13.56,77,Partially Ready
88,47,68,637682,53140,1570128,81608,1149544,2993021,1396873,993513,136139,3833497,312351,39731,285273,2345135,85974,3,Aggressive,No,No,High,18988603,8.66,10.23,64,Partially Ready
89,41,65,439560,36630,12410037,694659,919429,1747096,2448224,645247,6985,3981151,556857,42964,134298,861596,125946,4,Moderate,Yes,Yes,Normal,19312270,4.85,12.4,65,Partially Ready
90,29,56,458858,38238,14848798,657860,3512983,635148,1732080,1448084,53448,3442495,1052391,40073,262257,1044906,36197,5,Moderate,No,No,Normal,15523748,6.59,11.93,68,Partially Ready
91,56,66,4882471,406872,11937898,1417399,2217630,2558846,2030798,403207,64623,2340475,1170392,19562,132895,4993143,75760,3,Moderate,No,No,High,9756609,7.52,12.83,68,Partially Ready
92,29,68,4856615,404717,12790422,827394,2895199,3242466,614365,609123,11027,2412818,1497662,5179,196594,7421839,67225,4,Moderate,No,Yes,Normal,19790764,7.74,9.5,61,Partially Ready
93,37,57,725851,60487,17868795,473267,1953174,220163,420260,866755,86584,3962811,210857,44642,87072,86930,144271,5,Moderate,No,Yes,High,10876599,8.89,9.11,81,Ready
94,40,70,796291,66357,3051803,1367969,4816179,974002,2244591,78220,45892,3505473,1850201,11520,34052,6660463,129861,2,Conservative,Yes,No,Normal,11342147,4.93,13.24,60,Partially Ready
95,40,64,4857534,404794,17643210,1035809,1125750,3569603,2114821,981510,71522,1617419,1696205,7382,188373,2726201,120301,0,Aggressive,No,No,Normal,5988632,7.24,13.03,66,Partially Ready
96,47,65,4622487,385207,11053392,181902,3362432,2807062,400074,387514,36860,4005175,678641,16256,18580,4375250,100551,2,Moderate,Yes,No,High,8028998,5.18,13.28,68,Partially Ready
97,25,53,4204016,350334,10344712,334950,3400881,2877601,2107723,1475466,81521,984954,1339474,19335,207698,3705235,57443,3,Aggressive,No,No,High,18136100,8.79,11.35,63,Partially Ready
98,35,57,986777,82231,17683077,936898,4430637,2951809,1517435,163793,147893,941275,129516,35890,280020,3391627,140682,4,Moderate,Yes,Yes,High,3151495,4.75,10.3,60,Partially Ready
99,54,66,766706,63892,15264663,276707,4305434,1742416,1915951,1182607,15135,4687530,969677,44090,176569,365247,103795,1,Aggressive,Yes,Yes,High,11660470,5.27,8.02,70,Partially Ready
100,26,67,805460,67121,2365898,990005,266211,1204145,1714912,377448,35501,3526251,785301,25066,250162,6333337,98473,4,Conservative,No,Yes,Normal,18127403,4.4,14.75,57,Partially Ready
101,47,68,1368264,114022,7522243,7284,190717,1251425,1941979,1412431,142723,3557843,1115545,24856,135410,4152562,120750,5,Conservative,Yes,No,Normal,8175420,5.73,9.93,73,Partially Ready
102,35,52,1146382,95531,19979458,70414,3745019,2507291,2818671,1474898,12760,2052978,1553027,2899,225902,7364573,61430,0,Conservative,No,Yes,High,19476839,6.7,13.28,53,Partially Ready
103,60,70,2989933,249161,7999180,632845,1201755,2769131,2186285,463560,108412,2520784,577039,3994,106820,7167236,145712,5,Aggressive,No,No,High,13798904,6.48,14.81,60,Partially Ready
104,31,59,3457976,288164,6219954,1128117,3972163,1010693,945163,630689,37840,3884136,1918351,3776,231361,6987842,146089,2,Conservative,No,Yes,High,12551294,6.65,10.72,65,Partially Ready
105,27,67,1897875,158156,1779282,563004,3163914,2825584,2537425,1264419,10367,610559,394607,49918,128779,8042900,54759,0,Conservative,Yes,Yes,High,8240076,8.35,10.33,41,Not Ready
106,60,70,2015580,167965,13358763,501913,4631176,1348951,1187236,798305,122224,4476581,1360467,23544,176702,4388275,94278,0,Aggressive,No,No,Normal,12538793,6.56,11.48,73,Partially Ready
107,42,63,683488,56957,18925197,464045,1224088,68031,1093765,1160378,109465,2476252,319629,12857,187944,3859072,99572,4,Aggressive,No,No,High,16561656,6.85,9.72,57,Partially Ready
108,51,58,3254267,271188,5729614,293514,4584762,2048147,771952,1136943,15396,4395164,70933,4871,40435,107102,108106,0,Aggressive,Yes,Yes,Normal,17069580,4.69,12.41,70,Partially Ready
109,51,61,807092,67257,16263640,1382619,4092419,65983,27734,1116130,144610,3450557,24853,1096,292567,4609384,140440,5,Aggressive,No,Yes,Normal,3331757,8.89,8.12,56,Partially Ready
110,55,62,2321393,193449,6490171,1299774,4416232,1058718,1486633,560620,104044,662861,782345,26609,255647,9479163,63755,5,Conservative,Yes,Yes,High,12825988,8.95,9.58,58,Partially Ready
111,46,68,4293020,357751,1932904,1335357,79273,2947946,718834,173405,131034,3639897,1352468,21710,64997,8861040,11154,5,Aggressive,No,No,Normal,2594706,5.15,14.31,54,Partially Ready
112,39,67,576000,48000,6068138,659522,131349,868884,2462207,302391,104410,645398,627629,10646,141076,9507579,102015,3,Aggressive,Yes,Yes,High,1901753,7.39,11.78,48,Not Ready
113,28,63,2247365,187280,2600749,714274,4996327,1663893,1368922,62129,71651,3779488,1028870,14951,201547,9278433,98415,5,Moderate,Yes,No,Normal,2566475,6.16,12.76,57,Partially Ready
114,27,58,1593699,132808,12800683,1492495,1294168,3102339,1634193,664122,94555,893813,191932,340,176620,7461429,94350,0,Conservative,No,No,High,3565935,7.81,8.72,52,Partially Ready
115,23,52,3268848,272404,18646530,195169,2721518,3622696,1615804,25880,76506,3471290,813274,5550,142266,9595903,136604,1,Moderate,No,No,High,4996760,4.85,10.67,62,Partially Ready
116,26,55,3946328,328860,9309743,883115,2514504,2031013,322631,757333,65981,2068547,1511835,40962,274943,9962418,51261,0,Moderate,No,No,High,14871430,6.29,8.95,61,Partially Ready
117,43,63,1441894,120157,10130935,672483,1684864,2009112,1317780,372532,104396,2677120,611211,48160,272429,9661651,63550,3,Moderate,Yes,Yes,Normal,18558264,5.63,9.96,62,Partially Ready
118,23,64,2058658,171554,14762106,610965,580144,3434990,1716064,1411336,130889,1167519,1328201,19846,141888,4239295,40407,0,Moderate,No,No,High,18341706,7.58,13.52,73,Partially Ready
119,24,61,4803893,400324,19975290,1338361,712880,458728,1041156,1379090,93063,1395348,1356857,40152,38224,9449268,104757,3,Conservative,Yes,Yes,High,7549120,8.83,10.32,65,Partially Ready
120,54,70,4651991,387665,18773152,1217435,4825424,927074,1869730,784585,102533,3884455,1619719,44535,277388,2529080,90431,2,Moderate,Yes,Yes,Normal,11787970,8.99,11.38,79,Partially Ready
121,41,60,4119606,343300,6991315,1092857,4051076,1460877,1997170,204730,114862,3795402,668801,4402,172424,749657,30168,0,Aggressive,Yes,Yes,Normal,18619036,4.11,10.4,75,Partially Ready
122,32,60,4996353,416362,14356582,968997,1944945,3346030,1698892,1320703,48352,1563526,1343181,43077,241562,6636771,7652,3,Aggressive,No,No,Normal,7307361,7.69,14.18,59,Partially Ready
123,35,58,824822,68735,19422581,213389,4503751,784166,1534247,683639,51661,3838211,238980,17193,271630,8853588,82157,4,Conservative,No,No,High,5889062,6.98,12.28,58,Partially Ready
124,41,69,1010951,84245,4544541,656798,988695,1000646,1280856,245259,47984,3131518,1454241,9264,282819,6517332,109638,3,Conservative,No,Yes,Normal,16529660,6.98,12.02,59,Partially Ready
125,40,54,1869496,155791,10605553,945817,449723,3630263,1505919,20097,127037,1145336,409214,25162,279995,8304216,107252,3,Moderate,Yes,Yes,Normal,7499742,7.42,10.91,56,Partially Ready
126,40,51,2605633,217136,7594493,1127446,2421542,705519,1918144,1186254,129843,4611437,1071237,7419,74877,4494430,142372,0,Aggressive,No,Yes,High,3536525,8.12,10.57,71,Partially Ready
127,37,59,570368,47530,15140513,551163,2924075,3616327,364833,920796,30772,1987647,440146,48340,198831,7183451,43511,1,Conservative,No,No,Normal,10960013,7.08,13.49,53,Partially Ready
128,40,59,2542636,211886,17310902,1424593,798806,568701,1726359,124331,72698,1064415,1470998,8696,145902,2453557,84435,5,Moderate,No,Yes,High,13999087,8.14,13.33,73,Partially Ready
129,46,65,933476,77789,3173742,844839,4325279,3144899,1166963,1456899,96749,3814263,1992827,31984,186593,9763593,648,0,Aggressive,No,No,Normal,18032309,8.34,13.93,61,Partially Ready
130,47,58,3904107,325342,7158555,1037492,2252650,1354194,1189475,708323,143474,4848058,273875,37102,269456,5766993,12690,3,Conservative,Yes,Yes,High,15418206,4.23,12.38,77,Partially Ready
131,22,63,1997168,166430,4476268,1363142,2532231,666799,1149320,195748,94485,2100417,172848,24369,101782,868846,103898,1,Moderate,Yes,Yes,Normal,7261226,7.13,13.08,72,Partially Ready
132,52,58,1413166,117763,19970578,474356,4357414,2852054,1866745,19476,2113,2882108,1713601,7903,236414,2217531,125226,5,Conservative,Yes,No,High,10141342,4.35,10.68,67,Partially Ready
133,30,62,1416911,118075,4843353,143469,4450225,2362614,35545,1279932,43022,3691821,736494,47345,126702,2539636,107927,1,Conservative,Yes,Yes,Normal,19882817,7.08,11.1,69,Partially Ready
134,46,62,3901973,325164,10602991,293245,2078582,1161686,2703734,176682,65055,4642227,1260386,39322,164380,450038,79075,1,Aggressive,No,No,Normal,8130953,5.03,12.25,73,Partially Ready
135,53,64,1245762,103813,8139361,1047700,4982244,297845,2215794,25306,94659,2654765,276788,25351,235653,6130603,143224,0,Conservative,Yes,Yes,High,7339131,7.41,13.34,60,Partially Ready
136,24,51,3638456,303204,17049031,600808,4203103,3217492,1742448,888301,105454,691454,1343304,35164,296886,2561552,72736,1,Conservative,No,No,Normal,10507561,4.42,8.55,71,Partially Ready
137,49,61,785750,65479,8253379,180801,3644712,486482,1901579,1284079,14425,2594513,1396870,48607,107089,2003921,3320,1,Moderate,No,No,Normal,12577867,7.54,12.91,62,Partially Ready
138,30,58,1290331,107527,1035032,702569,3601435,1140769,2197203,133949,68930,4837304,1316031,5050,275124,7636951,133898,4,Conservative,No,Yes,High,3552915,5.8,11.5,54,Partially Ready
139,58,64,2215995,184666,17123330,5386,369416,3601602,51539,512861,12053,3957448,763314,25098,93687,3002466,9270,5,Aggressive,No,Yes,High,8430330,6.76,14.4,59,Partially Ready
140,48,63,2575476,214623,2663456,1198597,3127341,500803,2105712,1412066,13807,1504449,468052,33801,39079,6726402,18068,2,Moderate,Yes,No,Normal,12478879,8.38,14.06,52,Partially Ready
141,34,59,2849376,237448,8189768,972924,3089303,2481731,2069304,409830,143277,2056273,315760,417,229977,401147,61078,5,Conservative,No,Yes,High,10418344,6.71,12.45,78,Partially Ready
142,28,56,4744406,395367,8041578,880417,4127437,251218,597157,1492443,73354,780364,92065,15169,287503,6929943,97646,4,Conservative,Yes,No,Normal,19960726,6.29,13.24,62,Partially Ready
143,58,63,3948900,329075,4435842,496546,2446755,1094675,1321243,824081,85524,2668061,949502,17822,137479,1253047,53139,0,Conservative,Yes,Yes,High,15738214,4.68,13.39,74,Partially Ready
